season,team,league,division
1971,Kansas City Royals,AL,West
1971,Los Angeles Dodgers,NL,West
1971,Montreal Expos,NL,East
1971,New York Mets,NL,East
1971,Milwaukee Brewers,AL,West
1972,Oakland Athletics,AL,West
1972,Pittsburgh Pirates,NL,East
1972,San Diego Padres,NL,West
1972,San Francisco Giants,NL,West
1972,St. Louis Cardinals,NL,East
1972,Los Angeles Angels,AL,West
1972,Texas Rangers,AL,West
1972,Baltimore Orioles,AL,East
1972,Minnesota Twins,AL,West
1972,Boston Red Sox,AL,East
1972,Philadelphia Phillies,NL,East
1972,Chicago Cubs,NL,East
1972,Atlanta Braves,NL,West
1972,Cincinnati Reds,NL,West
1972,Chicago White Sox,AL,West
1972,Cleveland Guardians,AL,East
1972,New York Yankees,AL,East
1972,Detroit Tigers,AL,East
1972,Houston Astros,NL,West
1972,Kansas City Royals,AL,West
1972,Los Angeles Dodgers,NL,West
1972,Montreal Expos,NL,East
1972,New York Mets,NL,East
1972,Milwaukee Brewers,AL,East
1973,Oakland Athletics,AL,West
1973,Pittsburgh Pirates,NL,East
1973,San Diego Padres,NL,West
1973,San Francisco Giants,NL,West
1973,St. Louis Cardinals,NL,East
1973,Los Angeles Angels,AL,West
1973,Texas Rangers,AL,West
1973,Baltimore Orioles,AL,East
1973,Minnesota Twins,AL,West
1973,Boston Red Sox,AL,East
1973,Philadelphia Phillies,NL,East
1973,Chicago Cubs,NL,East
1973,Atlanta Braves,NL,West
1973,Cincinnati Reds,NL,West
1973,Chicago White Sox,AL,West
1973,Cleveland Guardians,AL,East
1973,New York Yankees,AL,East
1973,Detroit Tigers,AL,East
1973,Houston Astros,NL,West
1973,Kansas City Royals,AL,West
1973,Los Angeles Dodgers,NL,West
1973,Montreal Expos,NL,East
1973,New York Mets,NL,East
1973,Milwaukee Brewers,AL,East
1974,Oakland Athletics,AL,West
1974,Pittsburgh Pirates,NL,East
1974,San Diego Padres,NL,West
1974,San Francisco Giants,NL,West
1974,St. Louis Cardinals,NL,East
1974,Los Angeles Angels,AL,West
1974,Texas Rangers,AL,West
1974,Baltimore Orioles,AL,East
1974,Minnesota Twins,AL,West
1974,Boston Red Sox,AL,East
1974,Philadelphia Phillies,NL,East
1974,Chicago Cubs,NL,East
1974,Atlanta Braves,NL,West
1974,Cincinnati Reds,NL,West
1974,Chicago White Sox,AL,West
1974,Cleveland Guardians,AL,East
1974,New York Yankees,AL,East
1974,Detroit Tigers,AL,East
1974,Houston Astros,NL,West
1974,Kansas City Royals,AL,West
1974,Los Angeles Dodgers,NL,West
1974,Montreal Expos,NL,East
1974,New York Mets,NL,East
1974,Milwaukee Brewers,AL,East
1975,Oakland Athletics,AL,West
1975,Pittsburgh Pirates,NL,East
1975,San Diego Padres,NL,West
1975,San Francisco Giants,NL,West
1975,St. Louis Cardinals,NL,East
1975,Los Angeles Angels,AL,West
1975,Texas Rangers,AL,West
1975,Baltimore Orioles,AL,East
1975,Minnesota Twins,AL,West
1975,Boston Red Sox,AL,East
1975,Philadelphia Phillies,NL,East
1975,Chicago Cubs,NL,East
1975,Atlanta Braves,NL,West
1975,Cincinnati Reds,NL,West
1975,Chicago White Sox,AL,West
1975,Cleveland Guardians,AL,East
1975,New York Yankees,AL,East
1975,Detroit Tigers,AL,East
1975,Houston Astros,NL,West
1975,Kansas City Royals,AL,West
1975,Los Angeles Dodgers,NL,West
1975,Montreal Expos,NL,East
1975,New York Mets,NL,East
1975,Milwaukee Brewers,AL,East
1976,Oakland Athletics,AL,West
1976,Pittsburgh Pirates,NL,East
1976,San Diego Padres,NL,West
1976,San Francisco Giants,NL,West
1976,St. Louis Cardinals,NL,East
1976,Los Angeles Angels,AL,West
1976,Texas Rangers,AL,West
1976,Baltimore Orioles,AL,East
1976,Minnesota Twins,AL,West
1976,Boston Red Sox,AL,East
1976,Philadelphia Phillies,NL,East
1976,Chicago Cubs,NL,East
1976,Atlanta Braves,NL,West
1976,Cincinnati Reds,NL,West
1976,Chicago White Sox,AL,West
1976,Cleveland Guardians,AL,East
1976,New York Yankees,AL,East
1976,Detroit Tigers,AL,East
1976,Houston Astros,NL,West
1976,Kansas City Royals,AL,West
1976,Los Angeles Dodgers,NL,West
1976,Montreal Expos,NL,East
1976,New York Mets,NL,East
1976,Milwaukee Brewers,AL,East
1977,Oakland Athletics,AL,West
1977,Pittsburgh Pirates,NL,East
1977,San Diego Padres,NL,West
1977,Seattle Mariners,AL,West
1977,San Francisco Giants,NL,West
1977,St. Louis Cardinals,NL,East
1977,Texas Rangers,AL,West
1977,Toronto Blue Jays,AL,East
1977,Minnesota Twins,AL,West
1977,Philadelphia Phillies,NL,East
1977,Atlanta Braves,NL,West
1977,Chicago White Sox,AL,West
1977,New York Yankees,AL,East
1977,Milwaukee Brewers,AL,East
1977,Los Angeles Angels,AL,West
1977,Baltimore Orioles,AL,East
1977,Boston Red Sox,AL,East
1977,Chicago Cubs,NL,East
1977,Cincinnati Reds,NL,West
1977,Cleveland Guardians,AL,East
1977,Detroit Tigers,AL,East
1977,Houston Astros,NL,West
1977,Kansas City Royals,AL,West
1977,Los Angeles Dodgers,NL,West
1977,Montreal Expos,NL,East
1977,New York Mets,NL,East
1978,Oakland Athletics,AL,West
1978,Pittsburgh Pirates,NL,East
1978,San Diego Padres,NL,West
1978,Seattle Mariners,AL,West
1978,San Francisco Giants,NL,West
1978,St. Louis Cardinals,NL,East
1978,Texas Rangers,AL,West
1978,Toronto Blue Jays,AL,East
1978,Minnesota Twins,AL,West
1978,Philadelphia Phillies,NL,East
1978,Atlanta Braves,NL,West
1978,Chicago White Sox,AL,West
1978,New York Yankees,AL,East
1978,Milwaukee Brewers,AL,East
1978,Los Angeles Angels,AL,West
1978,Baltimore Orioles,AL,East
1978,Boston Red Sox,AL,East
1978,Chicago Cubs,NL,East
1978,Cincinnati Reds,NL,West
1978,Cleveland Guardians,AL,East
1978,Detroit Tigers,AL,East
1978,Houston Astros,NL,West
1978,Kansas City Royals,AL,West
1978,Los Angeles Dodgers,NL,West
1978,Montreal Expos,NL,East
1978,New York Mets,NL,East
1979,Oakland Athletics,AL,West
1979,Pittsburgh Pirates,NL,East
1979,San Diego Padres,NL,West
1979,Seattle Mariners,AL,West
1979,San Francisco Giants,NL,West
1979,St. Louis Cardinals,NL,East
1979,Texas Rangers,AL,West
1979,Toronto Blue Jays,AL,East
1979,Minnesota Twins,AL,West
1979,Philadelphia Phillies,NL,East
1979,Atlanta Braves,NL,West
1979,Chicago White Sox,AL,West
1979,New York Yankees,AL,East
1979,Milwaukee Brewers,AL,East
1979,Los Angeles Angels,AL,West
1979,Baltimore Orioles,AL,East
1979,Boston Red Sox,AL,East
1979,Chicago Cubs,NL,East
1979,Cincinnati Reds,NL,West
1979,Cleveland Guardians,AL,East
1979,Detroit Tigers,AL,East
1979,Houston Astros,NL,West
1979,Kansas City Royals,AL,West
1979,Los Angeles Dodgers,NL,West
1979,Montreal Expos,NL,East
1979,New York Mets,NL,East
1980,Oakland Athletics,AL,West
1980,Pittsburgh Pirates,NL,East
1980,San Diego Padres,NL,West
1980,Seattle Mariners,AL,West
1980,San Francisco Giants,NL,West
1980,St. Louis Cardinals,NL,East
1980,Texas Rangers,AL,West
1980,Toronto Blue Jays,AL,East
1980,Minnesota Twins,AL,West
1980,Philadelphia Phillies,NL,East
1980,Atlanta Braves,NL,West
1980,Chicago White Sox,AL,West
1980,New York Yankees,AL,East
1980,Milwaukee Brewers,AL,East
1980,Los Angeles Angels,AL,West
1980,Baltimore Orioles,AL,East
1980,Boston Red Sox,AL,East
1980,Chicago Cubs,NL,East
1980,Cincinnati Reds,NL,West
1980,Cleveland Guardians,AL,East
1980,Detroit Tigers,AL,East
1980,Houston Astros,NL,West
1980,Kansas City Royals,AL,West
1980,Los Angeles Dodgers,NL,West
1980,Montreal Expos,NL,East
1980,New York Mets,NL,East
1981,Oakland Athletics,AL,West
1981,Pittsburgh Pirates,NL,East
1981,San Diego Padres,NL,West
1981,Seattle Mariners,AL,West
1981,San Francisco Giants,NL,West
1981,St. Louis Cardinals,NL,East
1981,Texas Rangers,AL,West
1981,Toronto Blue Jays,AL,East
1981,Minnesota Twins,AL,West
1981,Philadelphia Phillies,NL,East
1981,Atlanta Braves,NL,West
1981,Chicago White Sox,AL,West
1981,New York Yankees,AL,East
1981,Milwaukee Brewers,AL,East
1981,Los Angeles Angels,AL,West
1981,Baltimore Orioles,AL,East
1981,Boston Red Sox,AL,East
1981,Chicago Cubs,NL,East
1981,Cincinnati Reds,NL,West
1981,Cleveland Guardians,AL,East
1981,Detroit Tigers,AL,East
1981,Houston Astros,NL,West
1981,Kansas City Royals,AL,West
1981,Los Angeles Dodgers,NL,West
1981,Montreal Expos,NL,East
1981,New York Mets,NL,East
1982,Oakland Athletics,AL,West
1982,Pittsburgh Pirates,NL,East
1982,San Diego Padres,NL,West
1982,Seattle Mariners,AL,West
1982,San Francisco Giants,NL,West
1982,St. Louis Cardinals,NL,East
1982,Texas Rangers,AL,West
1982,Toronto Blue Jays,AL,East
1982,Minnesota Twins,AL,West
1982,Philadelphia Phillies,NL,East
1982,Atlanta Braves,NL,West
1982,Chicago White Sox,AL,West
1982,New York Yankees,AL,East
1982,Milwaukee Brewers,AL,East
1982,Los Angeles Angels,AL,West
1982,Baltimore Orioles,AL,East
1982,Boston Red Sox,AL,East
1982,Chicago Cubs,NL,East
1982,Cincinnati Reds,NL,West
1982,Cleveland Guardians,AL,East
1982,Detroit Tigers,AL,East
1982,Houston Astros,NL,West
1982,Kansas City Royals,AL,West
1982,Los Angeles Dodgers,NL,West
1982,Montreal Expos,NL,East
1982,New York Mets,NL,East
1983,Oakland Athletics,AL,West
1983,Pittsburgh Pirates,NL,East
1983,San Diego Padres,NL,West
1983,Seattle Mariners,AL,West
1983,San Francisco Giants,NL,West
1983,St. Louis Cardinals,NL,East
1983,Texas Rangers,AL,West
1983,Toronto Blue Jays,AL,East
1983,Minnesota Twins,AL,West
1983,Philadelphia Phillies,NL,East
1983,Atlanta Braves,NL,West
1983,Chicago White Sox,AL,West
1983,New York Yankees,AL,East
1983,Milwaukee Brewers,AL,East
1983,Los Angeles Angels,AL,West
1983,Baltimore Orioles,AL,East
1983,Boston Red Sox,AL,East
1983,Chicago Cubs,NL,East
1983,Cincinnati Reds,NL,West
1983,Cleveland Guardians,AL,East
1983,Detroit Tigers,AL,East
1983,Houston Astros,NL,West
1983,Kansas City Royals,AL,West
1983,Los Angeles Dodgers,NL,West
1983,Montreal Expos,NL,East
1983,New York Mets,NL,East
1984,Oakland Athletics,AL,West
1984,Pittsburgh Pirates,NL,East
1984,San Diego Padres,NL,West
1984,Seattle Mariners,AL,West
1984,San Francisco Giants,NL,West
1984,St. Louis Cardinals,NL,East
1984,Texas Rangers,AL,West
1984,Toronto Blue Jays,AL,East
1984,Minnesota Twins,AL,West
1984,Philadelphia Phillies,NL,East
1984,Atlanta Braves,NL,West
1984,Chicago White Sox,AL,West
1984,New York Yankees,AL,East
1984,Milwaukee Brewers,AL,East
1984,Los Angeles Angels,AL,West
1984,Baltimore Orioles,AL,East
1984,Boston Red Sox,AL,East
1984,Chicago Cubs,NL,East
1984,Cincinnati Reds,NL,West
1984,Cleveland Guardians,AL,East
1984,Detroit Tigers,AL,East
1984,Houston Astros,NL,West
1984,Kansas City Royals,AL,West
1984,Los Angeles Dodgers,NL,West
1984,Montreal Expos,NL,East
1984,New York Mets,NL,East
1985,Oakland Athletics,AL,West
1985,Pittsburgh Pirates,NL,East
1985,San Diego Padres,NL,West
1985,Seattle Mariners,AL,West
1985,San Francisco Giants,NL,West
1985,St. Louis Cardinals,NL,East
1985,Texas Rangers,AL,West
1985,Toronto Blue Jays,AL,East
1985,Minnesota Twins,AL,West
1985,Philadelphia Phillies,NL,East
1985,Atlanta Braves,NL,West
1985,Chicago White Sox,AL,West
1985,New York Yankees,AL,East
1985,Milwaukee Brewers,AL,East
1985,Los Angeles Angels,AL,West
1985,Baltimore Orioles,AL,East
1985,Boston Red Sox,AL,East
1985,Chicago Cubs,NL,East
1985,Cincinnati Reds,NL,West
1985,Cleveland Guardians,AL,East
1985,Detroit Tigers,AL,East
1985,Houston Astros,NL,West
1985,Kansas City Royals,AL,West
1985,Los Angeles Dodgers,NL,West
1985,Montreal Expos,NL,East
1985,New York Mets,NL,East
1986,Oakland Athletics,AL,West
1986,Pittsburgh Pirates,NL,East
1986,San Diego Padres,NL,West
1986,Seattle Mariners,AL,West
1986,San Francisco Giants,NL,West
1986,St. Louis Cardinals,NL,East
1986,Texas Rangers,AL,West
1986,Toronto Blue Jays,AL,East
1986,Minnesota Twins,AL,West
1986,Philadelphia Phillies,NL,East
1986,Atlanta Braves,NL,West
1986,Chicago White Sox,AL,West
1986,New York Yankees,AL,East
1986,Milwaukee Brewers,AL,East
1986,Los Angeles Angels,AL,West
1986,Baltimore Orioles,AL,East
1986,Boston Red Sox,AL,East
1986,Chicago Cubs,NL,East
1986,Cincinnati Reds,NL,West
1986,Cleveland Guardians,AL,East
1986,Detroit Tigers,AL,East
1986,Houston Astros,NL,West
1986,Kansas City Royals,AL,West
1986,Los Angeles Dodgers,NL,West
1986,Montreal Expos,NL,East
1986,New York Mets,NL,East
1987,Oakland Athletics,AL,West
1987,Pittsburgh Pirates,NL,East
1987,San Diego Padres,NL,West
1987,Seattle Mariners,AL,West
1987,San Francisco Giants,NL,West
1987,St. Louis Cardinals,NL,East
1987,Texas Rangers,AL,West
1987,Toronto Blue Jays,AL,East
1987,Minnesota Twins,AL,West
1987,Philadelphia Phillies,NL,East
1987,Atlanta Braves,NL,West
1987,Chicago White Sox,AL,West
1987,New York Yankees,AL,East
1987,Milwaukee Brewers,AL,East
1987,Los Angeles Angels,AL,West
1987,Baltimore Orioles,AL,East
1987,Boston Red Sox,AL,East
1987,Chicago Cubs,NL,East
1987,Cincinnati Reds,NL,West
1987,Cleveland Guardians,AL,East
1987,Detroit Tigers,AL,East
1987,Houston Astros,NL,West
1987,Kansas City Royals,AL,West
1987,Los Angeles Dodgers,NL,West
1987,Montreal Expos,NL,East
1987,New York Mets,NL,East
1988,Oakland Athletics,AL,West
1988,Pittsburgh Pirates,NL,East
1988,San Diego Padres,NL,West
1988,Seattle Mariners,AL,West
1988,San Francisco Giants,NL,West
1988,St. Louis Cardinals,NL,East
1988,Texas Rangers,AL,West
1988,Toronto Blue Jays,AL,East
1988,Minnesota Twins,AL,West
1988,Philadelphia Phillies,NL,East
1988,Atlanta Braves,NL,West
1988,Chicago White Sox,AL,West
1988,New York Yankees,AL,East
1988,Milwaukee Brewers,AL,East
1988,Los Angeles Angels,AL,West
1988,Baltimore Orioles,AL,East
1988,Boston Red Sox,AL,East
1988,Chicago Cubs,NL,East
1988,Cincinnati Reds,NL,West
1988,Cleveland Guardians,AL,East
1988,Detroit Tigers,AL,East
1988,Houston Astros,NL,West
1988,Kansas City Royals,AL,West
1988,Los Angeles Dodgers,NL,West
1988,Montreal Expos,NL,East
1988,New York Mets,NL,East
1989,Oakland Athletics,AL,West
1989,Pittsburgh Pirates,NL,East
1989,San Diego Padres,NL,West
1989,Seattle Mariners,AL,West
1989,San Francisco Giants,NL,West
1989,St. Louis Cardinals,NL,East
1989,Texas Rangers,AL,West
1989,Toronto Blue Jays,AL,East
1989,Minnesota Twins,AL,West
1989,Philadelphia Phillies,NL,East
1989,Atlanta Braves,NL,West
1989,Chicago White Sox,AL,West
1989,New York Yankees,AL,East
1989,Milwaukee Brewers,AL,East
1989,Los Angeles Angels,AL,West
1989,Baltimore Orioles,AL,East
1989,Boston Red Sox,AL,East
1989,Chicago Cubs,NL,East
1989,Cincinnati Reds,NL,West
1989,Cleveland Guardians,AL,East
1989,Detroit Tigers,AL,East
1989,Houston Astros,NL,West
1989,Kansas City Royals,AL,West
1989,Los Angeles Dodgers,NL,West
1989,Montreal Expos,NL,East
1989,New York Mets,NL,East
1990,Oakland Athletics,AL,West
1990,Pittsburgh Pirates,NL,East
1990,San Diego Padres,NL,West
1990,Seattle Mariners,AL,West
1990,San Francisco Giants,NL,West
1990,St. Louis Cardinals,NL,East
1990,Texas Rangers,AL,West
1990,Toronto Blue Jays,AL,East
1990,Minnesota Twins,AL,West
1990,Philadelphia Phillies,NL,East
1990,Atlanta Braves,NL,West
1990,Chicago White Sox,AL,West
1990,New York Yankees,AL,East
1990,Milwaukee Brewers,AL,East
1990,Los Angeles Angels,AL,West
1990,Baltimore Orioles,AL,East
1990,Boston Red Sox,AL,East
1990,Chicago Cubs,NL,East
1990,Cincinnati Reds,NL,West
1990,Cleveland Guardians,AL,East
1990,Detroit Tigers,AL,East
1990,Houston Astros,NL,West
1990,Kansas City Royals,AL,West
1990,Los Angeles Dodgers,NL,West
1990,Montreal Expos,NL,East
1990,New York Mets,NL,East
1991,Oakland Athletics,AL,West
1991,Pittsburgh Pirates,NL,East
1991,San Diego Padres,NL,West
1991,Seattle Mariners,AL,West
1991,San Francisco Giants,NL,West
1991,St. Louis Cardinals,NL,East
1991,Texas Rangers,AL,West
1991,Toronto Blue Jays,AL,East
1991,Minnesota Twins,AL,West
1991,Philadelphia Phillies,NL,East
1991,Atlanta Braves,NL,West
1991,Chicago White Sox,AL,West
1991,New York Yankees,AL,East
1991,Milwaukee Brewers,AL,East
1991,Los Angeles Angels,AL,West
1991,Baltimore Orioles,AL,East
1991,Boston Red Sox,AL,East
1991,Chicago Cubs,NL,East
1991,Cincinnati Reds,NL,West
1991,Cleveland Guardians,AL,East
1991,Detroit Tigers,AL,East
1991,Houston Astros,NL,West
1991,Kansas City Royals,AL,West
1991,Los Angeles Dodgers,NL,West
1991,Montreal Expos,NL,East
1991,New York Mets,NL,East
1992,Oakland Athletics,AL,West
1992,Pittsburgh Pirates,NL,East
1992,San Diego Padres,NL,West
1992,Seattle Mariners,AL,West
1992,San Francisco Giants,NL,West
1992,St. Louis Cardinals,NL,East
1992,Texas Rangers,AL,West
1992,Toronto Blue Jays,AL,East
1992,Minnesota Twins,AL,West
1992,Philadelphia Phillies,NL,East
1992,Atlanta Braves,NL,West
1992,Chicago White Sox,AL,West
1992,New York Yankees,AL,East
1992,Milwaukee Brewers,AL,East
1992,Los Angeles Angels,AL,West
1992,Baltimore Orioles,AL,East
1992,Boston Red Sox,AL,East
1992,Chicago Cubs,NL,East
1992,Cincinnati Reds,NL,West
1992,Cleveland Guardians,AL,East
1992,Detroit Tigers,AL,East
1992,Houston Astros,NL,West
1992,Kansas City Royals,AL,West
1992,Los Angeles Dodgers,NL,West
1992,Montreal Expos,NL,East
1992,New York Mets,NL,East
1993,Oakland Athletics,AL,West
1993,Pittsburgh Pirates,NL,East
1993,San Diego Padres,NL,West
1993,Seattle Mariners,AL,West
1993,San Francisco Giants,NL,West
1993,St. Louis Cardinals,NL,East
1993,Texas Rangers,AL,West
1993,Toronto Blue Jays,AL,East
1993,Minnesota Twins,AL,West
1993,Philadelphia Phillies,NL,East
1993,Atlanta Braves,NL,West
1993,Chicago White Sox,AL,West
1993,Miami Marlins,NL,East
1993,New York Yankees,AL,East
1993,Milwaukee Brewers,AL,East
1993,Los Angeles Angels,AL,West
1993,Baltimore Orioles,AL,East
1993,Boston Red Sox,AL,East
1993,Chicago Cubs,NL,East
1993,Cincinnati Reds,NL,West
1993,Cleveland Guardians,AL,East
1993,Colorado Rockies,NL,West
1993,Detroit Tigers,AL,East
1993,Houston Astros,NL,West
1993,Kansas City Royals,AL,West
1993,Los Angeles Dodgers,NL,West
1993,Montreal Expos,NL,East
1993,New York Mets,NL,East
1994,Oakland Athletics,AL,West
1994,Pittsburgh Pirates,NL,Central
1994,San Diego Padres,NL,West
1994,Seattle Mariners,AL,West
1994,San Francisco Giants,NL,West
1994,St. Louis Cardinals,NL,Central
1994,Texas Rangers,AL,West
1994,Toronto Blue Jays,AL,East
1994,Minnesota Twins,AL,Central
1994,Philadelphia Phillies,NL,East
1994,Atlanta Braves,NL,East
1994,Chicago White Sox,AL,Central
1994,Miami Marlins,NL,East
1994,New York Yankees,AL,East
1994,Milwaukee Brewers,AL,Central
1994,Los Angeles Angels,AL,West
1994,Baltimore Orioles,AL,East
1994,Boston Red Sox,AL,East
1994,Chicago Cubs,NL,Central
1994,Cincinnati Reds,NL,Central
1994,Cleveland Guardians,AL,Central
1994,Colorado Rockies,NL,West
1994,Detroit Tigers,AL,East
1994,Houston Astros,NL,Central
1994,Kansas City Royals,AL,Central
1994,Los Angeles Dodgers,NL,West
1994,Montreal Expos,NL,East
1994,New York Mets,NL,East
1995,Oakland Athletics,AL,West
1995,Pittsburgh Pirates,NL,Central
1995,San Diego Padres,NL,West
1995,Seattle Mariners,AL,West
1995,San Francisco Giants,NL,West
1995,St. Louis Cardinals,NL,Central
1995,Texas Rangers,AL,West
1995,Toronto Blue Jays,AL,East
1995,Minnesota Twins,AL,Central
1995,Philadelphia Phillies,NL,East
1995,Atlanta Braves,NL,East
1995,Chicago White Sox,AL,Central
1995,Miami Marlins,NL,East
1995,New York Yankees,AL,East
1995,Milwaukee Brewers,AL,Central
1995,Los Angeles Angels,AL,West
1995,Baltimore Orioles,AL,East
1995,Boston Red Sox,AL,East
1995,Chicago Cubs,NL,Central
1995,Cincinnati Reds,NL,Central
1995,Cleveland Guardians,AL,Central
1995,Colorado Rockies,NL,West
1995,Detroit Tigers,AL,East
1995,Houston Astros,NL,Central
1995,Kansas City Royals,AL,Central
1995,Los Angeles Dodgers,NL,West
1995,Montreal Expos,NL,East
1995,New York Mets,NL,East
1996,Oakland Athletics,AL,West
1996,Pittsburgh Pirates,NL,Central
1996,San Diego Padres,NL,West
1996,Seattle Mariners,AL,West
1996,San Francisco Giants,NL,West
1996,St. Louis Cardinals,NL,Central
1996,Texas Rangers,AL,West
1996,Toronto Blue Jays,AL,East
1996,Minnesota Twins,AL,Central
1996,Philadelphia Phillies,NL,East
1996,Atlanta Braves,NL,East
1996,Chicago White Sox,AL,Central
1996,Miami Marlins,NL,East
1996,New York Yankees,AL,East
1996,Milwaukee Brewers,AL,Central
1996,Los Angeles Angels,AL,West
1996,Baltimore Orioles,AL,East
1996,Boston Red Sox,AL,East
1996,Chicago Cubs,NL,Central
1996,Cincinnati Reds,NL,Central
1996,Cleveland Guardians,AL,Central
1996,Colorado Rockies,NL,West
1996,Detroit Tigers,AL,East
1996,Houston Astros,NL,Central
1996,Kansas City Royals,AL,Central
1996,Los Angeles Dodgers,NL,West
1996,Montreal Expos,NL,East
1996,New York Mets,NL,East
1997,Oakland Athletics,AL,West
1997,Pittsburgh Pirates,NL,Central
1997,San Diego Padres,NL,West
1997,Seattle Mariners,AL,West
1997,San Francisco Giants,NL,West
1997,St. Louis Cardinals,NL,Central
1997,Texas Rangers,AL,West
1997,Toronto Blue Jays,AL,East
1997,Minnesota Twins,AL,Central
1997,Philadelphia Phillies,NL,East
1997,Atlanta Braves,NL,East
1997,Chicago White Sox,AL,Central
1997,Miami Marlins,NL,East
1997,New York Yankees,AL,East
1997,Milwaukee Brewers,AL,Central
1997,Los Angeles Angels,AL,West
1997,Baltimore Orioles,AL,East
1997,Boston Red Sox,AL,East
1997,Chicago Cubs,NL,Central
1997,Cincinnati Reds,NL,Central
1997,Cleveland Guardians,AL,Central
1997,Colorado Rockies,NL,West
1997,Detroit Tigers,AL,East
1997,Houston Astros,NL,Central
1997,Kansas City Royals,AL,Central
1997,Los Angeles Dodgers,NL,West
1997,Montreal Expos,NL,East
1997,New York Mets,NL,East
1998,Oakland Athletics,AL,West
1998,Pittsburgh Pirates,NL,Central
1998,San Diego Padres,NL,West
1998,Seattle Mariners,AL,West
1998,San Francisco Giants,NL,West
1998,St. Louis Cardinals,NL,Central
1998,Tampa Bay Rays,AL,East
1998,Texas Rangers,AL,West
1998,Toronto Blue Jays,AL,East
1998,Minnesota Twins,AL,Central
1998,Philadelphia Phillies,NL,East
1998,Atlanta Braves,NL,East
1998,Chicago White Sox,AL,Central
1998,Miami Marlins,NL,East
1998,New York Yankees,AL,East
1998,Milwaukee Brewers,NL,Central
1998,Los Angeles Angels,AL,West
1998,Arizona Diamondbacks,NL,West
1998,Baltimore Orioles,AL,East
1998,Boston Red Sox,AL,East
1998,Chicago Cubs,NL,Central
1998,Cincinnati Reds,NL,Central
1998,Cleveland Guardians,AL,Central
1998,Colorado Rockies,NL,West
1998,Detroit Tigers,AL,Central
1998,Houston Astros,NL,Central
1998,Kansas City Royals,AL,Central
1998,Los Angeles Dodgers,NL,West
1998,Montreal Expos,NL,East
1998,New York Mets,NL,East
1999,Oakland Athletics,AL,West
1999,Pittsburgh Pirates,NL,Central
1999,San Diego Padres,NL,West
1999,Seattle Mariners,AL,West
1999,San Francisco Giants,NL,West
1999,St. Louis Cardinals,NL,Central
1999,Tampa Bay Rays,AL,East
1999,Texas Rangers,AL,West
1999,Toronto Blue Jays,AL,East
1999,Minnesota Twins,AL,Central
1999,Philadelphia Phillies,NL,East
1999,Atlanta Braves,NL,East
1999,Chicago White Sox,AL,Central
1999,Miami Marlins,NL,East
1999,New York Yankees,AL,East
1999,Milwaukee Brewers,NL,Central
1999,Los Angeles Angels,AL,West
1999,Arizona Diamondbacks,NL,West
1999,Baltimore Orioles,AL,East
1999,Boston Red Sox,AL,East
1999,Chicago Cubs,NL,Central
1999,Cincinnati Reds,NL,Central
1999,Cleveland Guardians,AL,Central
1999,Colorado Rockies,NL,West
1999,Detroit Tigers,AL,Central
1999,Houston Astros,NL,Central
1999,Kansas City Royals,AL,Central
